trade_date,index,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20191210,0,000568.SZ,82.02,82.4,81.26,81.93,82.36,-0.43,-0.5221,72106.23,589317.718
20191209,1,000568.SZ,83.0,83.28,82.18,82.36,82.59,-0.23,-0.2785,60484.61,499406.48
20191206,2,000568.SZ,81.4,82.87,81.1,82.59,81.49,1.1,1.3499,96844.67,797714.974
20191205,3,000568.SZ,81.7,81.99,80.96,81.49,81.72,-0.23,-0.2814,66885.69,544605.363
20191204,4,000568.SZ,81.61,82.11,80.57,81.72,80.36,1.36,1.6924,80856.65,658199.036
20191203,5,000568.SZ,81.58,81.58,80.0,80.36,81.74,-1.38,-1.6883,100708.9,808116.311
20191202,6,000568.SZ,81.65,82.59,81.08,81.74,81.75,-0.01,-0.0122,75922.1,620331.821
20191129,7,000568.SZ,84.11,84.2,81.18,81.75,84.5,-2.75,-3.2544,145706.88,1196783.443
20191128,8,000568.SZ,86.19,86.36,84.09,84.5,85.83,-1.33,-1.5496,74447.15,632173.962
20191127,9,000568.SZ,85.2,86.58,84.84,85.83,85.3,0.53,0.6213,75023.34,645480.623
20191126,10,000568.SZ,84.45,85.56,84.11,85.3,84.35,0.95,1.1263,92816.11,790480.754
20191125,11,000568.SZ,83.0,84.69,81.61,84.35,84.2,0.15,0.1781,97491.99,811240.92
20191122,12,000568.SZ,87.9,87.95,83.5,84.2,87.48,-3.28,-3.7494,141107.38,1201937.28
20191121,13,000568.SZ,87.17,88.48,86.3,87.48,87.0,0.48,0.5517,77191.67,676139.979
20191120,14,000568.SZ,85.27,88.56,85.16,87.0,85.52,1.48,1.7306,136273.85,1189174.909
20191119,15,000568.SZ,84.7,86.11,84.7,85.52,85.06,0.46,0.5408,63522.56,544139.778
20191118,16,000568.SZ,84.73,85.29,83.71,85.06,85.21,-0.15,-0.176,71397.43,603069.707
20191115,17,000568.SZ,86.46,86.66,85.0,85.21,86.46,-1.25,-1.4458,73079.27,624852.564
20191114,18,000568.SZ,86.42,87.5,85.82,86.46,86.45,0.01,0.0116,100321.1,871974.483
20191113,19,000568.SZ,85.6,86.5,84.8,86.45,85.23,1.22,1.4314,84660.65,727799.482
20191112,20,000568.SZ,85.0,85.39,84.15,85.23,85.0,0.23,0.2706,57219.77,485545.903
20191111,21,000568.SZ,85.0,85.6,84.13,85.0,85.62,-0.62,-0.7241,64663.38,549199.517
20191108,22,000568.SZ,85.5,86.72,85.03,85.62,84.91,0.71,0.8362,93952.69,807203.837
20191107,23,000568.SZ,84.86,85.47,84.29,84.91,84.86,0.05,0.0589,68011.44,576532.078
20191106,24,000568.SZ,87.09,87.18,84.72,84.86,86.75,-1.89,-2.1787,105633.95,902308.775
20191105,25,000568.SZ,87.52,87.78,86.17,86.75,87.4,-0.65,-0.7437,97449.26,846782.669
20191104,26,000568.SZ,88.52,89.1,87.1,87.4,88.2,-0.8,-0.907,133454.18,1174229.46
20191101,27,000568.SZ,87.8,88.52,86.51,88.2,87.2,1.0,1.1468,118792.88,1042022.294
20191031,28,000568.SZ,88.99,89.31,86.77,87.2,85.8,1.4,1.6317,141395.3,1245594.843
20191030,29,000568.SZ,86.01,86.18,84.9,85.8,85.83,-0.03,-0.035,64227.6,548697.425
20191029,30,000568.SZ,85.6,86.46,84.62,85.83,84.88,0.95,1.1192,113876.81,978645.463
